Ntime,Open_us,High_us,Low_us,ClosePrice,AdjClose,Volume_us,Date,Close_cn,Open_cn,High_cn,Low_cn,Volume_cn,Fluctuation
20050914,1240.569946,1240.569946,1231.199951,1231.199951,1231.199951,2082360000,20050914,970.19,964.97,970.26,961.64,19960,0.0067
20050915,1231.199951,1234.73999,1226.160034,1227.160034,1227.160034,1986750000,20050915,969.6,970.58,970.96,965.66,16380,-0.0006
20050916,1227.160034,1231.880005,1224.849976,1227.72998,1227.72998,2079340000,20050916,967.5,969.62,970.37,964.28,13980,-0.0022
20050920,1237.910034,1237.910034,1227.650024,1231.02002,1231.02002,2076540000,20050920,961.92,971.38,971.65,957.12,18640,-0.0095
20050921,1231.02002,1236.48999,1220.069946,1221.339966,1221.339966,2319250000,20050921,944.41,961.37,961.37,943.82,18540,-0.0182
20050922,1221.339966,1221.52002,1209.890015,1210.199951,1210.199951,2548150000,20050922,923.27,942.73,942.73,914.23,18120,-0.0224
20050923,1210.199951,1216.640015,1205.349976,1214.619995,1214.619995,2424720000,20050923,916.15,921.51,927.42,914.81,11550,-0.0077
20050927,1215.290039,1222.560059,1211.839966,1215.630005,1215.630005,2022220000,20050927,904.21,918.87,921.13,903.39,11090,-0.0155
20050928,1215.630005,1220.170044,1211.109985,1215.660034,1215.660034,1976270000,20050928,903.72,903.33,910.33,901.38,8850,-0.0005
20050929,1215.660034,1220.97998,1212.719971,1216.890015,1216.890015,2106980000,20050929,915.98,904.28,915.98,904.28,11940,0.0136
20050930,1216.890015,1228.699951,1211.540039,1227.680054,1227.680054,2176120000,20050930,917.39,916.59,918.66,913.45,9000,0.0015
20051011,1195.900024,1196.52002,1186.119995,1187.329956,1187.329956,2195990000,20051011,919.72,906.63,919.8,904.04,7760,0.0137
20051012,1187.329956,1193.099976,1183.160034,1184.869995,1184.869995,2299040000,20051012,923.49,920.45,926.09,917.38,12210,0.0041
20051013,1184.869995,1190.02002,1173.650024,1177.680054,1177.680054,2491280000,20051013,916.5,923.43,926.01,916.27,10830,-0.0076
20051014,1177.680054,1179.560059,1168.199951,1176.839966,1176.839966,2351150000,20051014,904.83,916.34,917.89,902.81,10120,-0.0127
20051018,1186.569946,1191.209961,1184.47998,1190.099976,1190.099976,2054570000,20051018,902.37,897.37,903,895.62,11370,0.0053
20051019,1190.099976,1190.099976,1178.130005,1178.140015,1178.140015,2197010000,20051019,898.74,902.04,907.88,897.04,11030,-0.004
20051020,1178.140015,1195.76001,1170.550049,1195.76001,1195.76001,2703590000,20051020,899.91,898.89,900.13,889.57,12610,0.0013
